North,East,flood,aspect,curvature,dtr,elevation,Lulc,ndvi,rainfall,slope,Soil,spi,twi
2141614.976,247904.4576,1,4,1,3,5,1,2,3,2,1,6,10
2144474.478,244364.5808,1,6,1,6,5,1,8,2,1,1,10,10
2135199.961,251083.6485,1,5,1,1,5,1,5,3,3,1,6,7
2135973.914,243127.7207,0,5,1,7,8,1,8,3,9,1,9,3
2131402.197,237323.2351,0,4,3,7,9,1,9,4,11,1,9,2
2129397.166,238519.2334,0,4,1,6,6,1,10,4,10,1,5,2
2139166.503,251572.132,0,7,1,4,8,1,8,3,8,1,10,7
2146087.696,277684.0766,0,4,1,2,5,1,10,2,11,1,9,2
2136481.549,264485.0454,0,7,1,2,4,1,8,3,10,1,10,3
2132850.465,268476.7597,0,9,1,2,4,1,6,3,11,1,10,2
2132092.583,269367.3166,0,1,1,3,5,1,7,3,11,1,8,2
2128157.638,273433.1616,0,1,1,2,4,1,8,2,10,1,9,3
2144800.084,269118.3525,0,10,3,6,5,1,9,2,3,1,3,3
2144101.62,270285.9426,0,9,1,6,5,1,9,2,3,1,3,3
2148271.064,293322.8103,0,1,2,5,5,5,6,1,1,1,1,9
2144086.591,289624.7915,0,5,3,6,6,1,10,1,4,3,3,5
